OrderItemID,OrderID,ProductID,Quantity,UnitPriceAtSale,DiscountPercent
OIT-000043,ORD-000026,PRD-0011,5,264,15
OIT-000044,ORD-000027,PRD-0008,2,127.02,0
OIT-000045,ORD-000027,PRD-0034,2,123.24,0
OIT-000046,ORD-000027,PRD-0014,5,50.1,0
OIT-000047,ORD-000028,PRD-0020,4,123.17,0
OIT-000048,ORD-000029,PRD-0032,5,133.66,0
OIT-000049,ORD-000030,PRD-0018,3,215.3,10
OIT-000050,ORD-000030,PRD-0021,5,120.98,0
OIT-000051,ORD-000030,PRD-0015,5,310.39,0
OIT-000052,ORD-000030,PRD-0031,2,200.17,0
OIT-000053,ORD-000031,PRD-0013,1,110.09,15
OIT-000054,ORD-000032,PRD-0023,3,11.13,5
OIT-000055,ORD-000033,PRD-0033,5,93.75,0
OIT-000056,ORD-000034,PRD-0030,1,238.05,20
OIT-000057,ORD-000034,PRD-0018,1,215.3,10
OIT-000058,ORD-000035,PRD-0034,4,123.24,5
OIT-000059,ORD-000036,PRD-0011,1,264,10
OIT-000060,ORD-000036,PRD-0028,5,29.95,0
OIT-000061,ORD-000036,PRD-0029,3,214.12,0
OIT-000062,ORD-000036,PRD-0021,3,120.98,5
OIT-000063,ORD-000036,PRD-0008,3,127.02,10
OIT-000064,ORD-000037,PRD-0023,4,11.13,0
OIT-000065,ORD-000038,PRD-0026,4,199.02,0
OIT-000066,ORD-000039,PRD-0001,1,110.19,5
OIT-000067,ORD-000040,PRD-0033,2,93.75,0
OIT-000068,ORD-000041,PRD-0013,1,110.09,0
OIT-000069,ORD-000042,PRD-0031,3,200.17,0
OIT-000070,ORD-000042,PRD-0010,5,77.92,0
OIT-000071,ORD-000042,PRD-0012,5,357.86,10
OIT-000072,ORD-000043,PRD-0011,4,264,0
OIT-000073,ORD-000044,PRD-0034,4,123.24,5
OIT-000074,ORD-000044,PRD-0017,1,93.06,20
OIT-000075,ORD-000045,PRD-0033,1,93.75,10
OIT-000076,ORD-000045,PRD-0003,2,73.04,15
OIT-000077,ORD-000045,PRD-0018,5,215.3,0
OIT-000078,ORD-000046,PRD-0022,2,148.89,0
OIT-000079,ORD-000046,PRD-0015,5,310.39,0
OIT-000080,ORD-000046,PRD-0029,4,214.12,0
OIT-000081,ORD-000047,PRD-0017,3,93.06,0
OIT-000082,ORD-000048,PRD-0016,5,71.94,0
OIT-000083,ORD-000049,PRD-0028,4,29.95,15
OIT-000084,ORD-000050,PRD-0026,3,199.02,10
OIT-000085,ORD-000050,PRD-0009,4,53.45,15
OIT-000086,ORD-000050,PRD-0032,3,133.66,5
OIT-000087,ORD-000050,PRD-0004,1,34.84,0
OIT-000088,ORD-000051,PRD-0034,4,123.24,0
OIT-000089,ORD-000051,PRD-0023,2,11.13,10
OIT-000090,ORD-000052,PRD-0003,2,73.04,20
OIT-000091,ORD-000053,PRD-0023,1,11.13,5
OIT-000092,ORD-000053,PRD-0021,4,120.98,0
OIT-000093,ORD-000053,PRD-0014,3,50.1,0
OIT-000094,ORD-000053,PRD-0016,1,71.94,15
OIT-000095,ORD-000054,PRD-0027,3,189.64,0
OIT-000096,ORD-000055,PRD-0026,5,199.02,0
OIT-000097,ORD-000055,PRD-0031,4,200.17,0
OIT-000098,ORD-000056,PRD-0002,3,92.46,0
OIT-000099,ORD-000056,PRD-0031,5,200.17,5
OIT-000100,ORD-000057,PRD-0033,3,93.75,0
OIT-000101,ORD-000057,PRD-0005,2,37.53,5
OIT-000102,ORD-000057,PRD-0030,3,238.05,0
OIT-000103,ORD-000057,PRD-0031,3,200.17,5
OIT-000104,ORD-000058,PRD-0014,1,50.1,0
OIT-000105,ORD-000059,PRD-0035,2,222.35,0
OIT-000106,ORD-000060,PRD-0016,3,71.94,5
OIT-000107,ORD-000060,PRD-0034,4,123.24,0
OIT-000108,ORD-000061,PRD-0023,4,11.13,10
OIT-000109,ORD-000062,PRD-0003,1,73.04,0
OIT-000110,ORD-000062,PRD-0031,3,200.17,10
OIT-000111,ORD-000063,PRD-0014,3,50.1,0
OIT-000112,ORD-000064,PRD-0035,1,222.35,0
OIT-000113,ORD-000064,PRD-0031,4,200.17,10
OIT-000114,ORD-000064,PRD-0032,2,133.66,20
OIT-000115,ORD-000065,PRD-0018,4,215.3,15
OIT-000116,ORD-000065,PRD-0004,2,34.84,0
OIT-000117,ORD-000065,PRD-0032,1,133.66,0
OIT-000118,ORD-000066,PRD-0030,4,238.05,0
OIT-000119,ORD-000067,PRD-0004,1,34.84,0
OIT-000120,ORD-000068,PRD-0017,4,93.06,0
OIT-000121,ORD-000069,PRD-0019,5,34,20
OIT-000122,ORD-000070,PRD-0005,3,37.53,5
OIT-000123,ORD-000071,PRD-0012,3,357.86,0
OIT-000124,ORD-000071,PRD-0023,5,11.13,0
OIT-000125,ORD-000072,PRD-0015,3,310.39,0
OIT-000126,ORD-000073,PRD-0032,3,133.66,15
OIT-000127,ORD-000073,PRD-0020,3,123.17,0
OIT-000128,ORD-000073,PRD-0007,5,325.82,5
OIT-000129,ORD-000073,PRD-0026,2,199.02,0
OIT-000130,ORD-000073,PRD-0035,2,222.35,0
OIT-000131,ORD-000074,PRD-0023,5,11.13,0
OIT-000132,ORD-000074,PRD-0002,4,92.46,0
OIT-000133,ORD-000074,PRD-0032,2,133.66,10
OIT-000134,ORD-000074,PRD-0020,5,123.17,10
OIT-000135,ORD-000074,PRD-0024,3,78.19,5
OIT-000136,ORD-000075,PRD-0013,4,110.09,0
OIT-000137,ORD-000076,PRD-0020,4,123.17,0
OIT-000138,ORD-000077,PRD-0007,3,325.82,0
OIT-000139,ORD-000078,PRD-0029,3,214.12,10
OIT-000140,ORD-000078,PRD-0007,4,325.82,5
OIT-000141,ORD-000079,PRD-0016,1,71.94,5
OIT-000142,ORD-000079,PRD-0019,3,34,5
OIT-000143,ORD-000080,PRD-0034,4,123.24,0
OIT-000144,ORD-000080,PRD-0014,4,50.1,0
OIT-000145,ORD-000080,PRD-0032,5,133.66,10
OIT-000146,ORD-000080,PRD-0019,1,34,0
OIT-000147,ORD-000080,PRD-0024,4,78.19,0
OIT-000148,ORD-000081,PRD-0003,4,73.04,10
OIT-000149,ORD-000081,PRD-0007,4,325.82,0
OIT-000150,ORD-000082,PRD-0018,5,215.3,0
OIT-000151,ORD-000082,PRD-0003,5,73.04,0
OIT-000152,ORD-000082,PRD-0032,5,133.66,0
OIT-000153,ORD-000083,PRD-0026,1,199.02,10
OIT-000154,ORD-000083,PRD-0010,3,77.92,5
OIT-000155,ORD-000084,PRD-0028,2,29.95,0
OIT-000156,ORD-000084,PRD-0029,2,214.12,10
OIT-000157,ORD-000084,PRD-0026,4,199.02,20
OIT-000158,ORD-000085,PRD-0023,5,11.13,5
OIT-000159,ORD-000086,PRD-0004,4,34.84,0
OIT-000160,ORD-000087,PRD-0014,1,50.1,20
OIT-000161,ORD-000087,PRD-0018,2,215.3,10
OIT-000162,ORD-000088,PRD-0013,3,110.09,0
OIT-000163,ORD-000088,PRD-0001,5,110.19,0
OIT-000164,ORD-000088,PRD-0005,3,37.53,0
OIT-000165,ORD-000089,PRD-0015,4,310.39,15
OIT-000166,ORD-000089,PRD-0028,2,29.95,0
OIT-000167,ORD-000090,PRD-0027,3,189.64,0
OIT-000168,ORD-000090,PRD-0029,1,214.12,0
OIT-000169,ORD-000090,PRD-0005,1,37.53,5
OIT-000170,ORD-000091,PRD-0015,4,310.39,10
OIT-000171,ORD-000091,PRD-0024,5,78.19,0
OIT-000172,ORD-000091,PRD-0028,3,29.95,0
OIT-000173,ORD-000091,PRD-0010,4,77.92,0
OIT-000174,ORD-000092,PRD-0017,5,93.06,15
OIT-000175,ORD-000092,PRD-0005,5,37.53,0
OIT-000176,ORD-000092,PRD-0010,5,77.92,0
OIT-000177,ORD-000093,PRD-0009,1,53.45,0
OIT-000178,ORD-000093,PRD-0013,2,110.09,0
OIT-000179,ORD-000093,PRD-0011,2,264,10
OIT-000180,ORD-000094,PRD-0007,5,325.82,0
OIT-000181,ORD-000095,PRD-0010,5,77.92,15
OIT-000182,ORD-000095,PRD-0022,4,148.89,20
OIT-000183,ORD-000096,PRD-0029,4,214.12,15
OIT-000184,ORD-000096,PRD-0017,2,93.06,0
OIT-000185,ORD-000096,PRD-0018,3,215.3,0
OIT-000186,ORD-000097,PRD-0008,3,127.02,0
OIT-000187,ORD-000097,PRD-0034,4,123.24,15
OIT-000188,ORD-000097,PRD-0007,2,325.82,0
OIT-000189,ORD-000097,PRD-0035,1,222.35,5
OIT-000190,ORD-000098,PRD-0014,5,50.1,10
OIT-000191,ORD-000099,PRD-0007,4,325.82,10
OIT-000192,ORD-000099,PRD-0014,4,50.1,0
OIT-000193,ORD-000100,PRD-0035,1,222.35,0
OIT-000194,ORD-000100,PRD-0018,2,215.3,0
OIT-000195,ORD-000100,PRD-0032,1,133.66,0
OIT-000196,ORD-000101,PRD-0013,3,110.09,0
OIT-000197,ORD-000101,PRD-0016,1,71.94,15
OIT-000198,ORD-000102,PRD-0029,2,214.12,0
OIT-000199,ORD-000103,PRD-0001,4,110.19,15
OIT-000200,ORD-000103,PRD-0013,4,110.09,15
OIT-000201,ORD-000103,PRD-0033,1,93.75,10
OIT-000202,ORD-000103,PRD-0031,1,200.17,20
OIT-000203,ORD-000104,PRD-0031,1,200.17,20
OIT-000204,ORD-000104,PRD-0028,2,29.95,10
OIT-000205,ORD-000105,PRD-0024,1,78.19,0
OIT-000206,ORD-000106,PRD-0005,2,37.53,20
OIT-000207,ORD-000106,PRD-0027,4,189.64,0
OIT-000208,ORD-000107,PRD-0034,5,123.24,0
OIT-000209,ORD-000108,PRD-0020,1,123.17,0
OIT-000210,ORD-000109,PRD-0015,4,310.39,10
OIT-000211,ORD-000109,PRD-0003,3,73.04,10
OIT-000212,ORD-000109,PRD-0011,3,264,5
OIT-000213,ORD-000110,PRD-0007,4,325.82,0
OIT-000214,ORD-000110,PRD-0006,2,43.06,5
OIT-000215,ORD-000111,PRD-0017,5,93.06,0
OIT-000216,ORD-000112,PRD-0032,2,133.66,0
OIT-000217,ORD-000112,PRD-0001,3,110.19,10
OIT-000218,ORD-000113,PRD-0029,5,214.12,5
OIT-000219,ORD-000113,PRD-0004,2,34.84,0
OIT-000220,ORD-000113,PRD-0008,5,127.02,0
OIT-000221,ORD-000113,PRD-0005,4,37.53,0
OIT-000222,ORD-000113,PRD-0024,1,78.19,0
OIT-000223,ORD-000114,PRD-0022,2,148.89,0
OIT-000224,ORD-000115,PRD-0026,2,199.02,10
OIT-000225,ORD-000116,PRD-0011,4,264,10
OIT-000226,ORD-000117,PRD-0008,4,127.02,5
OIT-000227,ORD-000118,PRD-0002,3,92.46,0
OIT-000228,ORD-000118,PRD-0033,2,93.75,15
OIT-000229,ORD-000118,PRD-0030,5,238.05,0
OIT-000230,ORD-000118,PRD-0024,3,78.19,0
OIT-000231,ORD-000119,PRD-0020,1,123.17,0
OIT-000232,ORD-000119,PRD-0013,4,110.09,0
OIT-000233,ORD-000119,PRD-0006,3,43.06,15
OIT-000234,ORD-000120,PRD-0022,4,148.89,5
OIT-000235,ORD-000120,PRD-0017,3,93.06,0
OIT-000236,ORD-000121,PRD-0006,5,43.06,0
OIT-000237,ORD-000121,PRD-0020,1,123.17,5
OIT-000238,ORD-000121,PRD-0004,3,34.84,0
OIT-000239,ORD-000121,PRD-0010,5,77.92,10
OIT-000240,ORD-000122,PRD-0001,3,110.19,10
OIT-000241,ORD-000122,PRD-0015,5,310.39,0
OIT-000242,ORD-000123,PRD-0032,4,133.66,5
OIT-000243,ORD-000123,PRD-0006,2,43.06,0
OIT-000244,ORD-000124,PRD-0029,1,214.12,15
OIT-000245,ORD-000125,PRD-0009,3,53.45,15
OIT-000246,ORD-000126,PRD-0001,1,110.19,20
OIT-000247,ORD-000126,PRD-0022,3,148.89,0
OIT-000248,ORD-000127,PRD-0021,2,120.98,0
OIT-000249,ORD-000128,PRD-0017,1,93.06,10
OIT-000250,ORD-000129,PRD-0026,4,199.02,15
OIT-000251,ORD-000129,PRD-0030,4,238.05,15
OIT-000252,ORD-000130,PRD-0018,2,215.3,0
OIT-000253,ORD-000131,PRD-0030,2,238.05,0
OIT-000254,ORD-000131,PRD-0015,2,310.39,0
OIT-000255,ORD-000131,PRD-0006,5,43.06,10
OIT-000256,ORD-000131,PRD-0031,4,200.17,0
OIT-000257,ORD-000132,PRD-0032,1,133.66,10
OIT-000258,ORD-000132,PRD-0017,3,93.06,0
OIT-000259,ORD-000132,PRD-0022,5,148.89,15
OIT-000260,ORD-000133,PRD-0029,1,214.12,0
OIT-000261,ORD-000133,PRD-0014,3,50.1,0
OIT-000262,ORD-000134,PRD-0019,4,34,5
OIT-000263,ORD-000134,PRD-0011,5,264,15
OIT-000264,ORD-000134,PRD-0031,3,200.17,10
OIT-000265,ORD-000134,PRD-0004,3,34.84,10
OIT-000266,ORD-000135,PRD-0008,1,127.02,0
OIT-000267,ORD-000136,PRD-0031,3,200.17,15
OIT-000268,ORD-000136,PRD-0026,3,199.02,0
OIT-000269,ORD-000137,PRD-0027,2,189.64,0
OIT-000270,ORD-000137,PRD-0022,4,148.89,0
OIT-000271,ORD-000137,PRD-0030,4,238.05,5
OIT-000272,ORD-000138,PRD-0033,3,93.75,0
OIT-000273,ORD-000139,PRD-0002,4,92.46,0
OIT-000274,ORD-000139,PRD-0014,3,50.1,10
OIT-000275,ORD-000139,PRD-0001,1,110.19,10
OIT-000276,ORD-000139,PRD-0033,4,93.75,10
OIT-000277,ORD-000139,PRD-0017,5,93.06,0
OIT-000278,ORD-000140,PRD-0027,2,189.64,15
OIT-000279,ORD-000140,PRD-0005,5,37.53,0
OIT-000280,ORD-000140,PRD-0014,5,50.1,10
OIT-000281,ORD-000140,PRD-0034,4,123.24,15
OIT-000282,ORD-000141,PRD-0029,2,214.12,5
OIT-000283,ORD-000141,PRD-0024,4,78.19,0
OIT-000284,ORD-000141,PRD-0030,2,238.05,0
OIT-000285,ORD-000141,PRD-0003,5,73.04,0
OIT-000286,ORD-000142,PRD-0029,1,214.12,15
OIT-000287,ORD-000142,PRD-0005,2,37.53,20
OIT-000288,ORD-000142,PRD-0006,1,43.06,0
OIT-000289,ORD-000143,PRD-0012,4,357.86,0
OIT-000290,ORD-000143,PRD-0003,2,73.04,0
OIT-000291,ORD-000144,PRD-0013,2,110.09,0
OIT-000292,ORD-000145,PRD-0015,3,310.39,0
OIT-000293,ORD-000146,PRD-0026,1,199.02,10
OIT-000294,ORD-000147,PRD-0025,5,106.61,0
OIT-000295,ORD-000147,PRD-0017,2,93.06,0
OIT-000296,ORD-000147,PRD-0015,4,310.39,0
OIT-000297,ORD-000147,PRD-0001,4,110.19,0
OIT-000298,ORD-000147,PRD-0026,2,199.02,5
OIT-000299,ORD-000148,PRD-0033,3,93.75,0
OIT-000300,ORD-000149,PRD-0004,3,34.84,0
OIT-000301,ORD-000149,PRD-0003,5,73.04,0
OIT-000302,ORD-000149,PRD-0025,5,106.61,0
OIT-000303,ORD-000150,PRD-0016,1,71.94,0
OIT-000304,ORD-000150,PRD-0007,3,325.82,0
OIT-000305,ORD-000150,PRD-0008,3,127.02,15
OIT-000306,ORD-000150,PRD-0034,5,123.24,10
OIT-000307,ORD-000151,PRD-0029,4,214.12,10
OIT-000308,ORD-000152,PRD-0009,3,53.45,0
OIT-000309,ORD-000153,PRD-0028,5,29.95,0
OIT-000310,ORD-000154,PRD-0035,2,222.35,10
OIT-000311,ORD-000154,PRD-0026,2,199.02,0
OIT-000312,ORD-000154,PRD-0002,2,92.46,15
OIT-000313,ORD-000154,PRD-0012,4,357.86,0
OIT-000314,ORD-000154,PRD-0003,1,73.04,5
OIT-000315,ORD-000155,PRD-0021,2,120.98,20
OIT-000316,ORD-000155,PRD-0026,5,199.02,5
OIT-000317,ORD-000155,PRD-0027,5,189.64,10
OIT-000318,ORD-000156,PRD-0031,5,200.17,0
OIT-000319,ORD-000156,PRD-0011,1,264,0
OIT-000320,ORD-000157,PRD-0020,5,123.17,0
OIT-000321,ORD-000158,PRD-0008,4,127.02,15
OIT-000322,ORD-000159,PRD-0020,4,123.17,0
OIT-000323,ORD-000159,PRD-0008,2,127.02,10
OIT-000324,ORD-000160,PRD-0033,4,93.75,0
OIT-000325,ORD-000160,PRD-0001,3,110.19,0
OIT-000326,ORD-000161,PRD-0034,4,123.24,0
OIT-000327,ORD-000162,PRD-0010,2,77.92,5
OIT-000328,ORD-000162,PRD-0002,1,92.46,0
OIT-000329,ORD-000163,PRD-0024,4,78.19,0
OIT-000330,ORD-000163,PRD-0020,4,123.17,5
OIT-000331,ORD-000163,PRD-0018,1,215.3,0
OIT-000332,ORD-000163,PRD-0005,3,37.53,0
OIT-000333,ORD-000164,PRD-0030,3,238.05,5
OIT-000334,ORD-000165,PRD-0007,3,325.82,0
OIT-000335,ORD-000166,PRD-0029,3,214.12,0
OIT-000336,ORD-000166,PRD-0017,1,93.06,0
OIT-000337,ORD-000167,PRD-0004,3,34.84,0
OIT-000338,ORD-000167,PRD-0031,5,200.17,15
OIT-000339,ORD-000167,PRD-0035,2,222.35,0
OIT-000340,ORD-000168,PRD-0024,4,78.19,0
OIT-000341,ORD-000168,PRD-0033,2,93.75,5
OIT-000342,ORD-000169,PRD-0035,1,222.35,0
OIT-000343,ORD-000170,PRD-0017,5,93.06,0
OIT-000344,ORD-000170,PRD-0022,2,148.89,0
OIT-000345,ORD-000170,PRD-0029,1,214.12,0
OIT-000346,ORD-000171,PRD-0022,1,148.89,5
OIT-000347,ORD-000171,PRD-0033,4,93.75,0
OIT-000348,ORD-000172,PRD-0007,5,325.82,0
OIT-000349,ORD-000173,PRD-0031,1,200.17,5
OIT-000350,ORD-000173,PRD-0009,3,53.45,0
OIT-000351,ORD-000174,PRD-0008,5,127.02,0
OIT-000352,ORD-000175,PRD-0023,2,11.13,10
OIT-000353,ORD-000175,PRD-0009,5,53.45,0
OIT-000354,ORD-000175,PRD-0016,1,71.94,10
OIT-000355,ORD-000176,PRD-0013,5,110.09,0
OIT-000356,ORD-000176,PRD-0031,2,200.17,5
OIT-000357,ORD-000177,PRD-0035,3,222.35,15
OIT-000358,ORD-000178,PRD-0005,5,37.53,5
OIT-000359,ORD-000178,PRD-0028,1,29.95,0
OIT-000360,ORD-000178,PRD-0014,2,50.1,20
OIT-000361,ORD-000179,PRD-0030,3,238.05,15
OIT-000362,ORD-000179,PRD-0022,3,148.89,5
OIT-000363,ORD-000179,PRD-0020,4,123.17,10
OIT-000364,ORD-000179,PRD-0008,5,127.02,0
OIT-000365,ORD-000180,PRD-0023,5,11.13,0
OIT-000366,ORD-000181,PRD-0016,5,71.94,20
OIT-000367,ORD-000181,PRD-0005,4,37.53,10
OIT-000368,ORD-000181,PRD-0012,2,357.86,10
OIT-000369,ORD-000181,PRD-0020,4,123.17,10
OIT-000370,ORD-000182,PRD-0011,3,264,0
OIT-000371,ORD-000182,PRD-0017,3,93.06,0
OIT-000372,ORD-000183,PRD-0020,2,123.17,5
OIT-000373,ORD-000183,PRD-0030,4,238.05,0
OIT-000374,ORD-000183,PRD-0034,1,123.24,0
OIT-000375,ORD-000183,PRD-0032,4,133.66,10
OIT-000376,ORD-000184,PRD-0015,5,310.39,15
OIT-000377,ORD-000184,PRD-0034,1,123.24,10
OIT-000378,ORD-000184,PRD-0003,2,73.04,0
OIT-000379,ORD-000184,PRD-0011,5,264,5
OIT-000380,ORD-000185,PRD-0009,4,53.45,5
OIT-000381,ORD-000185,PRD-0019,4,34,20
OIT-000382,ORD-000186,PRD-0004,1,34.84,5
OIT-000383,ORD-000186,PRD-0019,4,34,5
OIT-000384,ORD-000187,PRD-0031,2,200.17,0
OIT-000385,ORD-000187,PRD-0027,2,189.64,0
OIT-000386,ORD-000188,PRD-0009,3,53.45,5
OIT-000387,ORD-000188,PRD-0024,1,78.19,0
OIT-000388,ORD-000189,PRD-0015,3,310.39,15
OIT-000389,ORD-000189,PRD-0004,1,34.84,15
OIT-000390,ORD-000189,PRD-0006,3,43.06,0
OIT-000391,ORD-000190,PRD-0008,4,127.02,0
OIT-000392,ORD-000191,PRD-0020,1,123.17,0
OIT-000393,ORD-000192,PRD-0022,3,148.89,0
OIT-000394,ORD-000192,PRD-0027,5,189.64,10
OIT-000395,ORD-000192,PRD-0001,2,110.19,20
OIT-000396,ORD-000192,PRD-0005,5,37.53,0
OIT-000397,ORD-000192,PRD-0034,3,123.24,0
OIT-000398,ORD-000193,PRD-0011,5,264,0
OIT-000399,ORD-000194,PRD-0021,5,120.98,0
OIT-000400,ORD-000195,PRD-0031,4,200.17,10
OIT-000401,ORD-000196,PRD-0023,2,11.13,15
OIT-000402,ORD-000197,PRD-0011,2,264,0
OIT-000403,ORD-000198,PRD-0020,3,123.17,0
OIT-000404,ORD-000198,PRD-0030,2,238.05,0
OIT-000405,ORD-000198,PRD-0016,5,71.94,0
OIT-000406,ORD-000198,PRD-0026,1,199.02,10
OIT-000407,ORD-000199,PRD-0028,4,29.95,0
OIT-000408,ORD-000199,PRD-0020,3,123.17,0
OIT-000409,ORD-000200,PRD-0032,3,133.66,0
OIT-000410,ORD-000200,PRD-0016,1,71.94,10
OIT-000411,ORD-000201,PRD-0016,1,71.94,0
OIT-000412,ORD-000202,PRD-0010,4,77.92,0
OIT-000413,ORD-000202,PRD-0004,3,34.84,10
OIT-000414,ORD-000203,PRD-0015,5,310.39,0
OIT-000415,ORD-000204,PRD-0026,5,199.02,15
OIT-000416,ORD-000204,PRD-0002,3,92.46,0
OIT-000417,ORD-000204,PRD-0018,4,215.3,5
OIT-000418,ORD-000204,PRD-0021,2,120.98,0
OIT-000419,ORD-000204,PRD-0014,2,50.1,0
OIT-000420,ORD-000205,PRD-0033,2,93.75,0
OIT-000421,ORD-000205,PRD-0007,4,325.82,0
OIT-000422,ORD-000205,PRD-0015,3,310.39,0
OIT-000423,ORD-000206,PRD-0014,4,50.1,0
OIT-000424,ORD-000206,PRD-0004,2,34.84,0
OIT-000425,ORD-000206,PRD-0012,4,357.86,15
OIT-000426,ORD-000206,PRD-0015,1,310.39,5
OIT-000427,ORD-000207,PRD-0013,2,110.09,0
OIT-000428,ORD-000207,PRD-0030,2,238.05,0
OIT-000429,ORD-000208,PRD-0005,4,37.53,0
OIT-000430,ORD-000209,PRD-0009,3,53.45,0
OIT-000431,ORD-000210,PRD-0006,3,43.06,15
OIT-000432,ORD-000211,PRD-0032,1,133.66,10
OIT-000433,ORD-000212,PRD-0018,4,215.3,0
OIT-000434,ORD-000212,PRD-0004,1,34.84,5
OIT-000435,ORD-000212,PRD-0010,2,77.92,0
OIT-000436,ORD-000212,PRD-0020,3,123.17,15
OIT-000437,ORD-000212,PRD-0022,2,148.89,0
OIT-000438,ORD-000213,PRD-0003,5,73.04,0
OIT-000439,ORD-000213,PRD-0032,1,133.66,10
OIT-000440,ORD-000214,PRD-0023,3,11.13,5
OIT-000441,ORD-000214,PRD-0002,3,92.46,15
OIT-000442,ORD-000214,PRD-0015,1,310.39,5
OIT-000443,ORD-000215,PRD-0008,3,127.02,0
OIT-000444,ORD-000215,PRD-0022,1,148.89,15
OIT-000445,ORD-000215,PRD-0032,4,133.66,0
OIT-000446,ORD-000215,PRD-0021,2,120.98,0
OIT-000447,ORD-000216,PRD-0009,4,53.45,0
OIT-000448,ORD-000216,PRD-0018,4,215.3,0
OIT-000449,ORD-000217,PRD-0005,5,37.53,5
OIT-000450,ORD-000218,PRD-0028,1,29.95,15
OIT-000451,ORD-000218,PRD-0016,1,71.94,0
OIT-000452,ORD-000218,PRD-0021,1,120.98,0
OIT-000453,ORD-000218,PRD-0009,3,53.45,0
OIT-000454,ORD-000219,PRD-0025,5,106.61,10
OIT-000455,ORD-000220,PRD-0027,4,189.64,15
OIT-000456,ORD-000220,PRD-0029,3,214.12,0
OIT-000457,ORD-000221,PRD-0028,1,29.95,15
OIT-000458,ORD-000222,PRD-0003,1,73.04,0
OIT-000459,ORD-000222,PRD-0007,3,325.82,10
OIT-000460,ORD-000223,PRD-0007,1,325.82,10
OIT-000461,ORD-000224,PRD-0032,5,133.66,0
OIT-000462,ORD-000224,PRD-0033,1,93.75,0
OIT-000463,ORD-000225,PRD-0018,4,215.3,5
OIT-000464,ORD-000226,PRD-0016,5,71.94,0
OIT-000465,ORD-000227,PRD-0033,4,93.75,10
OIT-000466,ORD-000228,PRD-0006,4,43.06,15
OIT-000467,ORD-000228,PRD-0034,1,123.24,20
OIT-000468,ORD-000228,PRD-0023,1,11.13,5
OIT-000469,ORD-000229,PRD-0026,5,199.02,0
OIT-000470,ORD-000230,PRD-0031,2,200.17,0
OIT-000471,ORD-000231,PRD-0010,4,77.92,0
OIT-000472,ORD-000232,PRD-0008,3,127.02,0
OIT-000473,ORD-000233,PRD-0030,3,238.05,0
OIT-000474,ORD-000233,PRD-0014,1,50.1,0
OIT-000475,ORD-000234,PRD-0002,5,92.46,0
OIT-000476,ORD-000235,PRD-0029,1,214.12,5
OIT-000477,ORD-000235,PRD-0034,3,123.24,20
OIT-000478,ORD-000235,PRD-0024,5,78.19,0
OIT-000479,ORD-000236,PRD-0006,3,43.06,0
OIT-000480,ORD-000237,PRD-0003,4,73.04,0
OIT-000481,ORD-000238,PRD-0027,3,189.64,0
